2012,2012_values,2013,2013_values,2014,2014_values,2015,2015_values,2016,2016_values,2017,2017_values
1.7205797830892449,26254,1.7967439517607993,29392,1.834787252374526,32262,2.0731747246337444,34192,2.0592872307288332,38741,2.511039165379744,44845
77.52504946322811,1182940,77.9389649894122,1274963,75.43027529770791,1326329,78.43363500434741,1293573,79.81403107030206,1501527,79.70518177247057,1423466
1.1859378287035491,18096,1.1506570292594422,18823,1.0468330839519526,18407,1.0385882621154483,17129,1.1499605056551865,21634,1.1408724048302439,20375
19.568432924979078,298591,19.11363402956754,312670,21.68810436596561,381353,18.4546020089034,304364,16.97672119331392,319380,16.642906657319447,297228
