Region,2012,2012_values,2013,2013_values,2014,2014_values,2015,2015_values,2016,2016_values,2017,2017_values
SUL,13.855208892436568,211414,13.893711396168838,227280,13.415808334058445,235897,13.169619307591656,217201,13.859750957060132,260741,12.074321607871376,215637
NORTE,9.174896338574241,139998,9.219621871958763,150819,9.028174693221093,158747,8.914857469237681,147029,9.688978047948154,182277,10.18918044205936,181970
NORDESTE,26.839642147716628,409541,27.493202302414414,449747,26.701835981553174,469512,27.48575419976741,453311,27.65986173258448,520360,28.442690969441976,507962
CENTROOESTE,8.539918905864875,130309,8.366547503191006,136864,11.502595329373946,202256,8.665472594342425,142916,8.453597068382093,159036,8.2652356160487,147610
SUDESTE,41.59033371540769,634619,41.026916926266985,671138,39.35158566179335,691939,41.76429642906083,688801,40.33781219402514,758868,41.02857136457859,732735
